created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 15 23:55:36 +0000 2023;1724939236477112571;"Perth in grip of C0VID wave &amp  superspreader Coldplay concerts this weekend - over 100K people, 40K flying in from elsewhere.   Epidemiologist @DrZoeHyde says wear mask, preferably N95, on public transport &amp  at stadium.  @CHO_WAHealth @AMA_WAPresident   https://t.co/a9v49lecGr";5;10;73;205;en;46042676;1724939236477112571;amnewtonPhD;https://twitter.com/amnewtonPhD/status/1724939236477112571
Wed Nov 15 23:51:39 +0000 2023;1724938244201345156;"reading all the tweets abt how chaos coldplay concert last night due to poor management from promoter made me glad taylor didnt add Indonesia in eras tour list.";0;0;0;0;en;835442323;1724938244201345156;uniserendipity;https://twitter.com/uniserendipity/status/1724938244201345156
Wed Nov 15 23:50:07 +0000 2023;1724937855607390482;"@chairmanGLC Malaysia: kita benci lgbt movement!  Holds coldplay concert.";1;3;0;9;en;770943602629369856;1724799207700406667;Boobies888;https://twitter.com/Boobies888/status/1724937855607390482
Wed Nov 15 23:44:14 +0000 2023;1724936375882174671;"I still can't figure it out why I don't have the fuckin ticket for Coldplay concert Why the fuck some of those fomo gangs that only knows Yellow or Fix You got the fuckin ticket??? Like howwww this is so unfair";1;1;0;1;en;513041996;1724936375882174671;sj_besar;https://twitter.com/sj_besar/status/1724936375882174671
Wed Nov 15 23:41:37 +0000 2023;1724935719389651437;"coldplay concert tix cutie";0;0;0;0;en;1120642022811901957;1724935719389651437;uniqloe_;https://twitter.com/uniqloe_/status/1724935719389651437
Wed Nov 15 23:40:05 +0000 2023;1724935331798216844;"the way that virtually no tweets about yesterday’s coldplay concert (except for chris martin taking a walk in sudirman) reached my timeline 👀 https://t.co/M28rZcz83P";0;1;0;0;en;1547833213388697601;1724935331798216844;hyunjinpacil;https://twitter.com/hyunjinpacil/status/1724935331798216844
Wed Nov 15 23:30:12 +0000 2023;1724932845595250964;"@coldplay Next concert I will see it 😭🤲";0;0;0;0;en;1723575808642764800;1724860844406911101;winterbeatae24;https://twitter.com/winterbeatae24/status/1724932845595250964
Wed Nov 15 23:29:16 +0000 2023;1724932611225891237;"@coldplay Singapore just take advantage with longer concert, with most audiences also from Indonesia..";0;0;0;2;en;823117027552264192;1724801536289824813;lastman365214;https://twitter.com/lastman365214/status/1724932611225891237
Wed Nov 15 23:28:20 +0000 2023;1724932374444769375;"@Matweymatwey @faizalhamssin @PASPusat Yes. PAS Pusat should hold all their activities there, eg, annual party convention, ceramah politik, protest against Coldplay concert.  Issue fatwa that all diehard PAS supporters to holiday there and nowhere else eg Golok, London, Singapore.";0;0;0;0;en;1469594431569362946;1722804688490553621;SuaraHati88888;https://twitter.com/SuaraHati88888/status/1724932374444769375
Wed Nov 15 23:27:07 +0000 2023;1724932069124612197;"Waking up and realize that your friends send you Coldplay concert videos is sooo nyebelinnn 🥲😭";0;0;0;0;en;235573916;1724932069124612197;amore_lia;https://twitter.com/amore_lia/status/1724932069124612197
Wed Nov 15 23:24:20 +0000 2023;1724931366289318154;"All those Coldplay concert footage in Jakarta surely bring back all the great old memories in 2017  So maybe thats why you coming to my dream again ya? 🐼🦒";0;0;0;0;en;30132376;1724931366289318154;badaiy;https://twitter.com/badaiy/status/1724931366289318154
Wed Nov 15 23:24:15 +0000 2023;1724931346773180903;"Me : *not opening tiktok and insta to avoid Coldplay concert*  Me open twitter : AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭";0;0;0;0;en;1709509351755685888;1724931346773180903;imamasihsabar;https://twitter.com/imamasihsabar/status/1724931346773180903
Wed Nov 15 23:20:00 +0000 2023;1724930278500507968;"More than 200 conservative Muslims marched in Indonesia’s capital on Wednesday, calling for the cancellation of a Coldplay concert that night over the British band’s support for the LGBTQ+ community. https://t.co/U0QAr6gbFR";0;0;0;0;en;20269833;1724930278500507968;TribLIVE;https://twitter.com/TribLIVE/status/1724930278500507968
Wed Nov 15 23:17:41 +0000 2023;1724929696218136628;"@coldplay SEE U ON THE NEXT CONCERT!!!!!😭 PROMISE U WILL COMEBACK TO INDONESIA!😭👋🏼";0;0;0;0;en;1720403788358635520;1724860844406911101;marchsunset7;https://twitter.com/marchsunset7/status/1724929696218136628
